Transformation,,DeepSeek-Coder-6.7B,Llama3.1-8B,Claude 3.5 Sonnet,GPT-4o,HLSFixer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faulty_indexing,FIN,0.166666667,0.19047619,0.434782609,0.47826087,0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illegal_comment,ICT,0.708333333,0.35,0.84,0.84,0.961538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_colons,MCS,0.64,0.409090909,0.84,0.88,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unclosed_string,UCS,0.541666667,0.227272727,0.8,0.8,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undefined_methods,UDM,0.16,0.083333333,0.68,0.6,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misused_equal,MUE,0.583333333,0.238095238,0.8,0.88,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condition_error,CDE,0.041666667,0.055555556,0.32,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic_Data_Structures,DDS,0.380952381,0.473684211,0.84,0.84,0.884615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out_Of_Boundray,OOB,0.095238095,0.142857143,0.388888889,0.444444444,0.631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pointer,PTR,0.409090909,0.333333333,0.8,0.9,0.904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top_Function_Not_Found,TFF,0,0,0.08,0.08,0.730769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsupported_Data_Types,UDP,0.24,0.19047619,0.4,0.44,0.807692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimization,,DeepSeek-Coder-6.7B,Llama3.1-8B,Claude 3.5 Sonnet,GPT-4o,HLSFixer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undefined_objects,UDO,0.44,0.315789474,0.68,0.76,0.884615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data_Flow_Pragma,DFP,0.125,0.125,0.875,0.875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dim Incorrect Dimension,DID,0.125,0.125,0.375,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illegal_keywords,IGK,0.52,0.260869565,0.84,0.84,0.884615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of Undeclared Identifier,UUI,0.875,0.375,1,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misplaced Loop Label,MLL,0.25,0.125,0.875,0.375,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type Mismatch Bug,TMB,0.125,0.125,0.75,0.625,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unclosed_parentheses,UCP,0.791666667,0.333333333,0.88,0.8,0.923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Layer Pipeline,MLP,0.25,0,1,0.375,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,SHT,0.08,0.222222222,0.52,0.48,0.807692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illegal_separation,ILS,0.56,0.368421053,0.76,0.84,0.807692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIPELINE& UNROLL conflict,PUC,0,0,1,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
