Latency (cycles),atax,bicg,covariance,gemm,gesummv,mvt,AVG
Baseline,1702,1658,3923,15661,470,1629,
DSE_4o,910,876,3881,15674,259,1614,
Speedup,1.87032967,1.892694064,1.010821953,0.999170601,1.814671815,1.00929368,1.432830297
DSE_llama3,1702,911,3959,8741,470,1031,
Speedup,1,1.819978046,0.990906795,1.791671433,1,1.580019399,1.363762612
DSE_ours,889,112,2229,2261,54,591,
Speedup,1.914510686,14.80357143,1.759982055,6.926581159,8.703703704,2.756345178,6.144115702
,,,,,,,
,,,,,,,
,,,,,,,
Baseline,atax,bicg,covariance,gemm,gesummv,mvt,
Latency,1702,1658,3923,15661,470,1629,
DSP_utilization,252,228,96,181,186,240,
FF_utilization,7551,7384,13971,1657,3570,7834,
LUT_utilization,8407,7697,13414,4787,5609,8681,
,,,,,,,
,,,,,,,
DSE_4o_aug,atax,bicg,covariance,gemm,gesummv,mvt,
Latency,910,876,3881,15674,259,1614,
DSP_utilization,252,912,96,181,186,240,
FF_utilization,8907,9804,16131,27209,4507,7819,
LUT_utilization,8951,28171,15607,11907,5471,8682,
,,,,,,,
,,,,,,,
DSE_llama3_aug,atax_atax,bicg_bicg,covariance_covariance,gemm_gemm,gesummv_gesummv,mvt_mvt,
Latency,1702,911,3959,8741,470,1031,
DSP_utilization,252,228,32,190,186,240,
FF_utilization,7551,5385,6469,3690,3570,10181,
LUT_utilization,8407,7958,7094,5524,5609,8971,
,,,,,,,
,,,,,,,
DSE_ours,atax,bicg,covariance,gemm,gesummv,mvt,
Latency,889,112,2229,2261,54,591,
DSP_utilization,252,228,192,362,186,240,
FF_utilization,8907,11798,58408,6737,4491,61243,
LUT_utilization,8951,10964,54818,16641,4795,24488,
