Claude3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kernel,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
example,0.486111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design,0.794788274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,0.658496732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,INF,INIT,faulty_indexing,illegal_comment,illegal_separation,missing_colons,unclosed_parentheses,unclosed_string,undefined_methods,undefined_objects,MLU,SHFT,condition_error,ZERO,misused_equal,operation_error,Dynamic_Data_Structures,OOB,Pointer,Top_Function_Not_Found,Unsupported_Data_Types,illegal_keywords,,,,,,,,,,,,,,,,,
06_basic_examples_vhls_parallel_loops_loop_functions,PASS,PASS,CSIM (None),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (None),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (None),PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
07_basic_examples_vhls_imperfect_loops_loop_imperfect,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),PASS,PASS,CSIM (Compilation error),PASS,CSIM (Compilation error),PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
08_basic_examples_vhls_max_bounded_loop_loop_max_bounds,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),,,,,,,,,,,,,,,,,
10_basic_examples_vhls_pipelined_nested_loops_loop_pipeline,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,,,,,,,,,,,,,,,,,
13_basic_examples_vhls_accs_w_dataflow_loop_sequential,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
14_basic_examples_vhls_static_memory_malloc_removed,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),N/A,CSIM (Compilation error),CSIM (Compilation error),PASS,,,,,,,,,,,,,,,,,
15_basic_examples_vhls_pointer_casting_pointer_cast_native,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),COSIM (C TB simulation failed),PASS,CSIM (Inconsistent simulation result),CSIM (Compilation error),COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),COSIM (C TB simulation failed),,,,,,,,,,,,,,,,,
16_basic_examples_vhls_double_pointer_pointer_double,CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),N/A,CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),,,,,,,,,,,,,,,,,
advanced1_signed_adder,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,,,,,,,,,,,,,,,,,
advanced2_count_slow,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,
