Deepseek-Code,,,,,,,,,,,,,,,,,,,,,,
Kernel,0.155555556,,,,,,,,,,,,,,,,,,,,,
example,0.324074074,,,,,,,,,,,,,,,,,,,,,
design,0.553745928,,,,,,,,,,,,,,,,,,,,,
overall,0.416666667,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Project Name,INF,INIT,faulty_indexing,illegal_comment,illegal_separation,missing_colons,unclosed_parentheses,unclosed_string,undefined_methods,undefined_objects,MLU,SHFT,ZERO,misused_equal,operation_error,condition_error,Dynamic_Data_Structures,OOB,Pointer,Top_Function_Not_Found,Unsupported_Data_Types,illegal_keywords
06_basic_examples_vhls_parallel_loops_loop_functions,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),PASS
07_basic_examples_vhls_imperfect_loops_loop_imperfect,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSYNTH (Source synthesis failed),CSIM (Compilation error),CSIM (Compilation error),PASS
08_basic_examples_vhls_max_bounded_loop_loop_max_bounds,CSIM (Runtime error),CSIM (Runtime error),CSIM (Inconsistent simulation result),CSIM (Runtime error),PASS,PASS,CSIM (Runtime error),CSIM (Runtime error),PASS,CSIM (Compilation error),CSIM (Runtime error),CSIM (Inconsistent simulation result),PASS,CSIM (Runtime error),CSIM (Inconsistent simulation result),CSIM (Runtime error),CSYNTH (Source synthesis failed),CSIM (Runtime error),CSIM (Runtime error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error)
10_basic_examples_vhls_pipelined_nested_loops_loop_pipeline,CSIM (Runtime error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),COSIM (Inconsistent C/RTL simulation result),PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Compilation error)
13_basic_examples_vhls_accs_w_dataflow_loop_sequential,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Runtime error),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Undeclared identifier)
14_basic_examples_vhls_static_memory_malloc_removed,CSIM (Runtime error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),CSIM (Inconsistent simulation result),N/A,CSIM (Compilation error),CSIM (Compilation error),PASS
15_basic_examples_vhls_pointer_casting_pointer_cast_native,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,PASS,COSIM (C TB simulation failed),PASS,PASS,CSIM (Compilation error),COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error)
16_basic_examples_vhls_double_pointer_pointer_double,CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,N/A,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result)
advanced1_signed_adder,CSIM (Runtime error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSYNTH (Unknown error),CSIM (Compilation error),CSIM (Inconsistent simulation result),N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Runtime error),CSYNTH (Unknown error),CSIM (Compilation error),PASS,PASS
advanced2_count_slow,CSIM (Runtime error),CSIM (Inconsistent simulation result),N/A,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS
advanced3_adv_fsm,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),CSIM (Runtime error),CSIM (Compilation error),PASS,PASS
advanced4_advshift,CSIM (Runtime error),PASS,N/A,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS
basic1_wire_assign,CSIM (Runtime error),N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error)
basic2_and_gate,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error)
basic3_priority_encoder,CSIM (Runtime error),PASS,CSIM (Runtime error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),PASS,PASS
basic4_mux,CSIM (Runtime error),CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS
intermediate1_half_adder,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Compilation error),CSIM (Compilation error),PASS
intermediate2_counter,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS
intermediate3_lfsr,CSIM (Runtime error),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),CSIM (Runtime error),N/A,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS
intermediate4_simple_fsm,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),CSIM (Runtime error),N/A,CSIM (Compilation error),CSIM (Compilation error),PASS
intermediate5_left_rotate,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,CSIM (Runtime error),CSIM (Compilation error),CSIM (Compilation error),PASS
intermediate6_ram,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Runtime error),CSIM (Compilation error),CSIM (Compilation error),PASS
intermediate7_truthtable,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,N/A,N/A,CSIM (Compilation error),CSIM (Compilation error),PASS
using_axi_lite_example,CSIM (Runtime error),N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),N/A,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSYNTH (Source synthesis failed),CSIM (Compilation error),CSIM (Runtime error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Compilation error)
interface_array_fft_top,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,CSYNTH (Source synthesis failed),PASS,CSIM (Runtime error),CSIM (Compilation error),CSIM (Compilation error),PASS
,,,,,,,,,,,,,,,,,,,,,,
Project Name,APT,DFP,DID,FND,HFM,MLL,MLP,PUC,TMB,UNP,URM,UUI,,,,,,,,,,
3mm_3mm,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (Unknown error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,CSYNTH (Synthesis time-out),CSYNTH (Source synthesis failed),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,
atax_atax,N/A,CSYNTH (Unknown error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),CSYNTH (Source synthesis failed),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,
bicg_bicg,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,CSYNTH (Source synthesis failed),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,
covariance_covariance,CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),CSIM (Compilation error),N/A,CSIM (Compilation error),,,,,,,,,,
gemm_gemm,CSYNTH (Source synthesis failed),CSYNTH (Unknown error),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),CSYNTH (Source synthesis failed),CSIM (Compilation error),CSIM (Compilation error),N/A,PASS,,,,,,,,,,
gesummv_gesummv,CSYNTH (Source synthesis failed),CSYNTH (Unknown error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),PASS,CSYNTH (Source synthesis failed),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (Source synthesis failed),PASS,,,,,,,,,,
heat-3d_heat-3d,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (Unknown error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSIM (Compilation error),CSYNTH (Synthesis time-out),CSYNTH (Source synthesis failed),CSIM (Compilation error),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,
