Fixing+Ananlysis+DPO,,,,,,,,,,,,,,,,,,,,,,,,,,
Kernel,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,
example,0.689814815,,,,,,,,,,,,,,,,,,,,,,,,,
design,0.80781759,,,,,,,,,,,,,,,,,,,,,,,,,
overall,0.741830065,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Dynamic_Data_Structures,INF,INIT,MLU,OOB,Pointer,SHFT,Top_Function_Not_Found,Unsupported_Data_Types,ZERO,condition_error,faulty_indexing,illegal_comment,illegal_keywords,illegal_separation,missing_colons,misused_equal,operation_error,unclosed_parentheses,unclosed_string,undefined_methods,undefined_objects,,,,
06_basic_examples_vhls_parallel_loops_loop_functions,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
07_basic_examples_vhls_imperfect_loops_loop_imperfect,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
advanced1_signed_adder,PASS,PASS,CSIM (Inconsistent simulation result),N/A,CSIM (Runtime error),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
08_basic_examples_vhls_max_bounded_loop_loop_max_bounds,PASS,PASS,PASS,CSIM (Runtime error),CSIM (Runtime error),PASS,PASS,CSIM (Runtime error),PASS,PASS,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,CSIM (Runtime error),CSIM (Runtime error),PASS,PASS,PASS,PASS,,,,
10_basic_examples_vhls_pipelined_nested_loops_loop_pipeline,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,CSIM (Inconsistent simulation result),,,,
13_basic_examples_vhls_accs_w_dataflow_loop_sequential,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
14_basic_examples_vhls_static_memory_malloc_removed,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,,,,
basic2_and_gate,PASS,PASS,PASS,N/A,N/A,PASS,PASS,PASS,CSIM (Compilation error),PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
15_basic_examples_vhls_pointer_casting_pointer_cast_native,COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,COSIM (C TB simulation failed),PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),PASS,COSIM (C TB simulation failed),CSIM (Inconsistent simulation result),COSIM (C TB simulation failed),COSIM (C TB simulation failed),PASS,PASS,PASS,PASS,COSIM (C TB simulation failed),,,,
16_basic_examples_vhls_double_pointer_pointer_double,PASS,PASS,PASS,CSIM (Inconsistent simulation result),COSIM (C TB simulation failed),N/A,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,,,,
advanced2_count_slow,PASS,CSIM (Runtime error),PASS,N/A,CSIM (Inconsistent simulation result),PASS,PASS,COSIM (None),CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),N/A,PASS,PASS,CSIM (Compilation error),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
advanced3_adv_fsm,PASS,PASS,PASS,N/A,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
advanced4_advshift,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),N/A,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
basic1_wire_assign,PASS,CSIM (Compilation error),N/A,N/A,N/A,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
basic3_priority_encoder,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Runtime error),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
basic4_mux,PASS,PASS,CSIM (Inconsistent simulation result),N/A,N/A,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
interface_array_fft_top,CSYNTH (Source synthesis failed),PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),COSIM (Inconsistent C/RTL simulation result),PASS,PASS,CSIM (Compilation error),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSYNTH (Source synthesis failed),PASS,PASS,,,,
intermediate1_half_adder,PASS,PASS,PASS,N/A,N/A,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
intermediate2_counter,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Inconsistent simulation result),N/A,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
intermediate3_lfsr,PASS,PASS,PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),N/A,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Inconsistent simulation result),CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
intermediate4_simple_fsm,PASS,PASS,PASS,N/A,CSIM (Runtime error),N/A,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
intermediate5_left_rotate,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
intermediate6_ram,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
intermediate7_truthtable,PASS,PASS,PASS,N/A,N/A,N/A,CSIM (Inconsistent simulation result),PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,PASS,PASS,,,,
using_axi_lite_example,PASS,PASS,N/A,N/A,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,CSIM (Inconsistent simulation result),PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,APT,DFP,DID,FND,HFM,MLL,MLP,PUC,TMB,UNP,URM,UUI,,,,,,,,,,,,,,
3mm_3mm,PASS,PASS,PASS,PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,
atax_atax,N/A,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,CSIM (Compilation error),,,,,,,,,,,,,,
bicg_bicg,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,
covariance_covariance,CSIM (Compilation error),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,PASS,N/A,PASS,,,,,,,,,,,,,,
gemm_gemm,CSYNTH (Source synthesis failed),PASS,PASS,PASS,CSIM (Compilation error),PASS,CSYNTH (Source synthesis failed),PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),N/A,PASS,,,,,,,,,,,,,,
gesummv_gesummv,CSYNTH (Source synthesis failed),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),CSYNTH (Synthesis time-out),PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (Source synthesis failed),PASS,,,,,,,,,,,,,,
heat-3d_heat-3d,CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),CSIM (Compilation error),PASS,PASS,PASS,PASS,CSYNTH (PPA Unsatisfied may cause co-simulation false),CSYNTH (PPA Unsatisfied may cause co-simulation false),PASS,,,,,,,,,,,,,,
